rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45535,"D1J-Lawrence",9,1,0,579,456,123,1633.37,1778.37,1735.646,192.1,1921
2,44774,"D1J-Lincoln-Sudbury (blue)",9,6,0,869,827,42,1609.077,1725.744,1692.46,142.6,1426
3,44287,"D1J-Belmont (maroon)",16,7,0,1262,1093,169,1617.793,1741.706,1688.544,160.1,1921
4,45253,"D1J-Waltham Boys (red)",8,8,0,891,945,-54,1632.766,1764.016,1665.953,150.2,1802
5,45436,"D1J-Cambridge",4,8,0,615,677,-62,1642.796,1780.296,1655.413,132.1,1453
6,43939,"D1J-Brookline (red)",11,14,0,1294,1265,29,1623.452,1749.452,1644.338,148.5,1633
7,45501,"D1J-Everett",2,11,0,576,689,-113,1651.203,1793.511,1631.342,111.7,1229
