rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43738,"D6K-Needham (white)",10,2,0,525,413,112,1383.882,1283.882,1430.216,32.9,362
2,43730,"D6K-Sharon (maroon-hoffman)",9,4,0,519,457,62,1397.39,1301.236,1410.157,29.6,325
3,45312,"D6K-Milton (silver)",5,7,0,420,438,-18,1415.155,1327.655,1398.16,21.2,233
4,45141,"D6K-North Quincy (castillo)",6,5,0,419,372,47,1393.05,1297.595,1387.23,21.2,233
5,44418,"D6K-Dedham (clifford)",4,7,0,351,430,-79,1398.02,1298.02,1343.836,15.4,169
6,44188,"D6K-Parkway  (blue)",4,8,0,439,495,-56,1406.839,1311.005,1338.008,15.3,184
7,43617,"D6K-Norwood (white)",1,11,0,415,612,-197,1405.797,1305.797,1291.696,7.6,91
