rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43225,"D2H-Barnstable  (red)",9,7,0,796,768,28,1571.468,1655.843,1663.475,142.4,1282
2,43328,"D2H-Mansfield (white)",9,7,0,789,760,29,1615.91,1728.41,1639.081,130.5,1435
3,43206,"D2H-FLBC (blue)",6,5,0,577,509,68,1558.425,1631.152,1636.75,101.6,1016
4,44148,"D2H-Easton (black)",6,6,0,590,597,-7,1586.749,1678.415,1606.188,107.4,1289
5,43483,"D2H-Rochester",5,10,0,680,729,-49,1602.093,1695.426,1589.62,100.8,1210
6,44644,"D2H-Attleboro (blue)",5,9,0,674,839,-165,1601.408,1690.694,1584.308,104.4,1044
