rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45355,"D5H-West Bridgewater (borey)",8,0,0,490,256,234,1453.205,1415.705,1516.533,63.0,504
2,44981,"D5H-Acushnet - Fairhaven (dallen)",11,1,0,585,416,169,1447.787,1397.787,1505.805,52.0,572
3,43252,"D5H-Dartmouth (white)",8,4,0,532,498,34,1441.2,1382.867,1483.211,40.0,440
4,43098,"D5H-Swansea (black)",4,7,0,416,495,-79,1464.521,1414.521,1424.599,26.6,293
5,43331,"D5H-Mansfield (green)",4,9,0,506,582,-76,1448.541,1394.695,1407.498,25.3,303
6,44645,"D5H-Attleboro (white)",2,9,0,409,515,-106,1468.742,1427.832,1404.167,20.5,205
7,43477,"D5H-Somerset (white)",7,8,0,544,617,-73,1451.379,1401.379,1392.085,28.3,311
8,43207,"D5H-FLBC (white)",2,9,0,355,539,-184,1452.574,1398.029,1385.111,16.7,184
