rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45106,"D6M-Framingham (white)",11,3,0,694,524,170,1395.654,1299.225,1439.178,30.4,425
2,43532,"D6M-Northboro (white)",11,3,0,596,431,165,1395.164,1302.307,1427.633,31.2,437
3,44382,"D6M-Westborough",7,7,0,481,539,-58,1394.806,1294.806,1376.656,19.6,274
4,44336,"D6M-Medway (red)",6,7,0,388,374,14,1396.497,1296.497,1365.646,20.5,267
5,44997,"D6M-Dover Sherborn (gilchrist)",6,7,0,392,509,-117,1402.464,1306.311,1344.604,19.2,250
6,43887,"D6M-Holliston (keller-black)",3,10,0,367,418,-51,1407.497,1311.343,1334.501,12.5,162
7,45637,"D6M-Hopkinton (clifford)",1,12,0,387,605,-218,1400.872,1300.872,1307.356,7.1,92
