rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44778,"D6T-Lincoln-Sudbury (green)",14,2,0,707,487,220,1405.121,1311.371,1434.656,36.0,468
2,44239,"D6T-Wayland (orange)",9,4,0,516,376,140,1408.844,1316.536,1403.803,28.9,347
3,45306,"D6T-Medford (gray)",9,5,0,537,515,22,1399.908,1303.479,1385.094,26.1,365
4,44756,"D6T-Arlington (black)",8,10,0,687,635,52,1405.216,1310.772,1378.728,19.7,236
5,44074,"D6T-Watertown (red)",6,10,0,505,582,-77,1403.29,1303.29,1349.307,14.4,187
6,44710,"D6T-Weston",3,8,0,301,386,-85,1394.839,1294.839,1343.666,12.6,176
7,45228,"D6T-Somerville (7/8 b)",0,13,0,283,622,-339,1402.081,1302.081,1286.903,5.1,61
