rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45304,"D3M-Medford (blue)",11,4,0,880,731,149,1549.629,1612.963,1633.097,108.2,1298
2,44709,"D3M-Weston",9,3,0,618,520,98,1545.226,1595.226,1623.154,99.3,1191
3,43448,"D3M-Winchester (white)",16,11,0,1252,1157,95,1546.181,1592.477,1616.396,105.6,1267
4,44747,"D3M-Arlington (maroon)",10,12,0,1102,1052,50,1559.37,1620.734,1588.239,89.7,897
5,44288,"D3M-Belmont (white)",14,8,0,992,912,80,1552.986,1591.622,1540.357,91.2,1094
6,44238,"D3M-Wayland (black)",5,12,0,784,913,-129,1546.064,1590.182,1515.409,62.8,628
7,44053,"D3M-Newton (orange)",4,9,0,630,706,-76,1547.767,1590.074,1513.282,65.0,780
8,45489,"D3M-Revere",5,13,0,806,940,-134,1546.284,1590.728,1493.448,61.8,742
