rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45761,"D4R-Lexington (blue)",12,3,0,553,340,213,1518.075,1538.075,1567.899,82.3,905
2,44691,"D4R-Arlington (maroon)",8,9,0,467,515,-48,1507.132,1504.191,1506.224,57.9,579
3,44389,"D4R-Belmont (white)",8,7,0,475,408,67,1479.855,1466.521,1497.218,49.3,493
4,43773,"D4R-Concord-Carlisle (maroon)",5,8,0,217,351,-134,1490.25,1474.865,1460.667,43.1,474
5,44006,"D4R-Somerville",1,9,0,163,357,-194,1509.64,1499.64,1422.408,26.5,265
