rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43229,"D4H-Barnstable  (red)",11,1,0,644,426,218,1498.169,1502.336,1577.671,79.5,954
2,43130,"D4H-Barrington RI (gold)",10,3,0,514,397,117,1486.55,1486.55,1546.93,68.6,823
3,43343,"D4H-Monomoy (blue/goodnow)",8,3,0,589,416,173,1516.669,1521.214,1545.227,53.9,808
4,44982,"D4H-Acushnet - Fairhaven (ashley)",3,6,0,309,284,25,1515.688,1521.244,1501.463,44.6,401
5,43485,"D4H-Rochester",2,8,0,304,415,-111,1521.111,1526.111,1478.17,31.2,374
