rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44448,"D3J-Bedford",13,7,0,763,653,110,1555.313,1620.313,1611.269,102.4,1536
2,45110,"D3J-Framingham (navy)",8,11,0,505,535,-30,1537.743,1587.743,1581.439,77.6,1241
3,43520,"D3J-Hopkinton (spar7g)",10,6,0,523,506,17,1570.733,1636.358,1572.634,103.7,1348
4,44082,"D3J-Wellesley (a)",5,9,0,396,379,17,1531.178,1581.178,1557.393,74.8,897
5,44771,"D3J-Dover Sherborn (case)",6,6,1,485,461,24,1550.304,1600.304,1557.265,74.0,962
6,43944,"D3J-Brookline (red)",8,12,0,685,760,-75,1536.448,1578.948,1521.96,68.1,954
7,45153,"D3J-Waltham Girls (red)",4,8,1,355,396,-41,1546.437,1596.437,1517.703,63.6,827
8,44784,"D3J-Lincoln-Sudbury (blue)",3,10,0,331,463,-132,1546.766,1589.074,1493.016,50.2,652
