rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43437,"D5H-Foxboro (gold)",13,4,0,584,475,109,1458.258,1420.023,1517.553,54.1,865
2,44478,"D5H-Walpole (b)",11,3,0,446,270,176,1466.428,1444.999,1499.372,59.3,771
3,43307,"D5H-Franklin",12,6,0,636,467,169,1463.946,1427.835,1498.788,43.4,608
4,44884,"D5H-North Attleboro (white)",7,6,0,331,339,-8,1464.368,1425.906,1433.221,38.0,494
5,43217,"D5H-FLBC",8,5,0,318,304,14,1448.836,1402.682,1426.535,40.2,482
6,44484,"D5H-Easton (orange)",3,9,0,218,311,-93,1453.261,1403.261,1397.621,21.6,281
7,44605,"D5H-King Philip",2,10,0,198,368,-170,1465.591,1419.757,1385.966,23.1,300
8,43338,"D5H-Mansfield (green)",2,10,0,234,367,-133,1460.549,1414.716,1381.007,18.7,224
