rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44649,"D4J-Attleboro (blue)",6,10,0,299,351,-52,1474.606,1465.231,1512.271,41.6,666
2,43446,"D4J-Foxboro (blue)",8,6,0,324,346,-22,1519.394,1540.823,1501.677,67.5,945
3,43185,"D4J-Bellingham",7,7,0,302,292,10,1488.154,1484.583,1498.007,52.0,728
4,44400,"D4J-Dedham (vanderstreet)",6,9,0,269,269,0,1489.095,1489.095,1495.712,45.4,635
5,45345,"D4J-Milton (white)",7,5,0,217,236,-19,1490.042,1485.875,1470.565,57.5,690
6,44880,"D4J-North Attleboro (white)",5,10,0,300,385,-85,1494.115,1487.448,1444.186,41.6,624
