rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44030,"D5W-Newton (orange)",10,2,0,310,187,123,1447.543,1401.71,1477.098,50.8,610
2,44725,"D5W-Weston",8,5,0,312,250,62,1445.941,1399.787,1465.15,39.4,512
3,44277,"D5W-Wayland (orange)",7,7,0,274,284,-10,1450.069,1403.64,1446.29,34.6,485
4,44769,"D5W-Belmont (white)",11,6,0,388,287,101,1436.251,1392.133,1441.567,39.9,479
5,43465,"D5W-Winchester (black)",9,9,0,403,333,70,1443.986,1396.764,1419.771,30.3,364
6,44686,"D5W-Arlington (white)",1,15,0,186,542,-356,1460.511,1416.761,1364.298,15.1,181
