rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44286,"D5H-Rochester",9,4,0,353,208,145,1444.687,1398.533,1490.081,43.9,570
2,44945,"D5H-Acushnet - Fairhaven (josh)",10,3,0,269,174,95,1455.604,1409.45,1462.128,46.9,610
3,43173,"D5H-Seekonk (lagor)",7,6,0,355,195,160,1458.165,1423.55,1456.574,38.8,504
4,43136,"D5H-Barrington RI (gold)",7,6,0,304,206,98,1450.234,1404.08,1452.718,35.5,462
5,44454,"D5H-Barnstable  (white)",7,9,0,247,382,-135,1451.013,1404.138,1427.42,30.4,487
6,43550,"D5H-Bridgewater (mcdonald)",4,10,0,205,288,-83,1444.584,1394.584,1416.218,22.1,309
7,43847,"D5H-Raynham (b. leclerc)",1,12,0,143,372,-229,1458.265,1408.265,1367.152,13.2,172
