rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44183,"D4M-Parkway  (red)",14,3,0,496,306,190,1504.053,1512.877,1588.478,82.3,1152
2,43706,"D4M-Ashland",9,5,0,329,281,48,1506.637,1503.065,1544.039,60.6,849
3,44514,"D4M-Milford (red-chiccarelli)",10,6,0,313,263,50,1493.692,1487.442,1528.619,57.0,855
4,43903,"D4M-Southboro (maroon)",8,7,0,290,249,41,1507.554,1510.888,1509.876,60.7,789
5,45632,"D4M-Hopkinton (sakakeeny)",5,9,0,259,341,-82,1519.864,1516.292,1481.834,44.1,617
6,45633,"D4M-Hopkinton (selchan)",1,12,0,195,346,-151,1526.009,1522.163,1436.504,28.2,367
