rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44004,"D5M-Chelsea",9,2,0,462,226,236,1450.638,1418.819,1508.344,54.8,603
2,44282,"D5M-Wayland (orange)",9,2,0,416,287,129,1433.651,1388.196,1483.392,50.3,553
3,44369,"D5M-Belmont (white)",8,11,0,476,515,-39,1457.153,1425.574,1436.255,37.4,449
4,43452,"D5M-Winchester (black)",3,13,1,273,485,-212,1435.805,1397.57,1355.184,19.1,210
5,44700,"D5M-Arlington (grey)",1,17,1,187,670,-483,1443.036,1400.93,1334.73,11.8,142
