rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44366,"D1/2-Easton (black)",12,1,0,621,463,158,1653.095,1799.249,1751.773,196.5,2555
2,43945,"D1/2-Brookline (red)",12,4,0,765,613,152,1609.852,1728.602,1721.026,117.9,1769
3,43436,"D1/2-Foxboro (blue)",9,4,0,613,511,102,1654.154,1796.461,1716.167,180.9,2352
4,43776,"D1/2-Millis (maroon)",9,4,0,591,454,137,1636.952,1767.721,1697.046,155.5,2022
5,43339,"D1/2-Mansfield (white)",8,5,0,583,588,-5,1656.125,1798.432,1690.855,154.9,1859
6,45490,"D1/2-Fall River (cor/wat)",2,8,0,401,473,-72,1663.091,1803.091,1653.943,122.1,1221
7,44983,"D1/2-Acushnet - Fairhaven (ladd)",2,9,0,509,624,-115,1650.353,1777.626,1622.973,100.6,1106
