rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45262,"D2BJ-Medfield (bachand)",11,3,0,611,519,92,1592.97,1692.97,1676.771,137.6,1927
2,43394,"D2BJ-Natick",9,9,0,655,626,29,1591.269,1682.936,1621.422,118.7,1543
3,45439,"D2BJ-Cambridge",8,8,0,576,570,6,1600.933,1694.683,1618.604,109.9,1428
4,43517,"D2BJ-Hopkinton (bearfield)",4,8,0,419,448,-29,1595.412,1691.245,1609.735,95.2,1142
5,45138,"D2BJ-Westwood",9,11,0,736,731,5,1602.714,1700.214,1607.671,110.9,1442
6,44076,"D2BJ-Wellesley (a)",6,9,0,530,618,-88,1598.857,1692.191,1606.41,99.6,1395
