rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45152,"D3K-Waltham Girls (red)",15,3,0,760,521,239,1530.018,1574.463,1628.858,110.8,1219
2,44368,"D3K-Belmont (maroon)",10,5,0,483,448,35,1548.188,1601.521,1620.407,98.6,986
3,44696,"D3K-Arlington (maroon)",9,7,0,612,546,66,1571.357,1636.982,1595.362,95.8,958
4,45763,"D3K-Lexington (blue)",6,8,0,500,566,-66,1560.872,1603.729,1542.96,80.6,806
5,44035,"D3K-Newton (black)",3,12,0,457,573,-116,1563.045,1613.045,1524.569,58.8,588
