rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,power
1,44214,"D6J-Sharon (maroon-hyland)",8,3,0,375,286,89,1497.191,1571.139
2,45128,"D6J-Westwood",7,3,0,332,303,29,1482.164,1526.407
3,45320,"D6J-Milton (black)",6,8,0,403,430,-27,1500.214,1483.043
4,44090,"D6J-Holbrook (orange)",4,7,0,359,368,-9,1479.083,1466.164
5,44194,"D6J-Parkway  (blue)",5,7,0,407,438,-31,1496.377,1463.066
6,44405,"D6J-Dedham (mclaughlin)",2,9,0,251,396,-145,1507.483,1391.37
7,44521,"D6J-Milford (black-bien)",2,9,0,242,381,-139,1486.067,1387.956
