rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,power,mw_rating,mw_points
1,44047,"D6R-Newton (white)",11,2,0,582,347,235,1499.536,1643.836,45.6,502
2,44057,"D6R-Wellesley (c)",9,2,0,516,327,189,1487.927,1602.894,37.8,416
3,44714,"D6R-Weston",5,5,0,327,372,-45,1515.477,1512.685,19.5,195
4,44274,"D6R-Wayland (silver)",5,5,0,320,333,-13,1500.363,1491.977,20.8,208
5,44070,"D6R-Watertown (red)",5,10,0,465,617,-152,1502.246,1432.724,19.0,228
6,45872,"D6R-Framingham (white)",0,8,0,185,331,-146,1544.872,1390.099,5.0,40
