rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45578,"D1H-Stoughton",17,3,0,1145,888,257,1626.387,1761.387,1758.111,200.5,2406
2,43416,"D1H-Brockton",10,1,0,597,415,182,1635.28,1780.735,1744.153,192.6,2119
3,44871,"D1H-North Attleboro (red)",14,12,0,1179,1172,7,1622.587,1741.818,1694.959,185.3,2224
4,43148,"D1H-Dighton-Rehoboth (green)",7,6,0,764,667,97,1655.355,1801.509,1690.395,165.6,1822
5,43420,"D1H-Bridgewater (mattar)",4,8,0,586,634,-48,1621.916,1746.916,1666.375,127.3,1400
6,44977,"D1H-Acushnet - Fairhaven (vardo)",2,10,0,528,651,-123,1656.612,1806.612,1628.918,117.7,1412
7,43926,"D1H-Taunton (travers)",3,13,0,677,952,-275,1667.203,1814.078,1601.314,121.1,1453
