rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45082,"D3H-Fall River (jordyn)",11,4,0,912,673,239,1563.557,1633.557,1653.273,105.1,1576
2,43342,"D3H-Monomoy (blue/mccarthy)",9,3,0,658,550,108,1569.145,1631.645,1607.46,109.3,1311
3,43123,"D3H-Barrington RI (gold)",12,5,0,791,768,23,1561.819,1620.643,1603.74,102.9,1543
4,43107,"D3H-Seekonk (bradley)",13,5,0,882,805,77,1547.821,1589.487,1601.711,101.4,1420
5,43256,"D3H-Dartmouth (green)",6,9,0,658,750,-92,1561.418,1608.085,1548.831,66.2,927
6,45626,"D3H-New Bedford",3,8,0,506,562,-56,1542.992,1579.356,1524.283,57.0,627
7,43480,"D3H-Rochester (red)",5,12,0,700,832,-132,1560.846,1607.905,1523.921,73.0,949
