rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44808,"D5H-Fall River (hart)",15,2,0,912,585,327,1476.849,1459.202,1547.667,68.0,816
2,43478,"D5H-Somerset",14,3,0,759,585,174,1439.181,1380.357,1479.455,45.1,541
3,43234,"D5H-Barnstable  (red)",6,5,0,433,451,-18,1452.573,1402.573,1432.203,34.3,377
4,44978,"D5H-Acushnet - Fairhaven (santos)",3,7,0,371,445,-74,1453.668,1403.668,1423.401,23.2,232
5,43432,"D5H-Westport (frias)",4,8,0,436,535,-99,1456.664,1406.664,1406.892,24.6,295
6,43253,"D5H-Dartmouth (white)",2,10,0,336,483,-147,1450.473,1400.473,1364.269,17.3,207
