rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45318,"D2J-Milton (red)",19,11,0,1194,1084,110,1575.904,1677.571,1686.762,133.9,2009
2,44462,"D2J-Walpole (a)",14,5,0,894,698,196,1589.614,1676.456,1661.067,132.3,1720
3,44403,"D2J-Dedham (odonnell)",4,9,0,544,631,-87,1606.801,1706.801,1601.456,95.8,1245
4,43621,"D2J-Norwood (gold)",4,9,0,569,666,-97,1595.247,1683.709,1581.11,89.3,1161
5,44966,"D2J-Foxboro (blue)",4,11,0,650,772,-122,1580.6,1663.933,1579.109,82.7,1075
