rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44028,"D6T-Chelsea",12,1,0,710,347,363,1406.155,1317.694,1495.067,40.9,531
2,44439,"D6T-Bedford (white)",14,3,0,542,414,128,1394.741,1309.447,1481.047,34.2,445
3,45427,"D6T-Winchester (red)",11,9,0,590,638,-48,1409.822,1317.322,1382.993,22.0,264
4,44736,"D6T-Arlington (black)",6,12,0,503,582,-79,1388.425,1296.758,1353.209,12.0,144
5,44307,"D6T-Belmont (gray)",8,12,0,607,703,-96,1421.172,1328.672,1348.587,26.2,340
6,45080,"D6T-Reading (decrescenzo)",1,13,0,250,522,-272,1416.406,1319.977,1285.213,7.9,103
