rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44162,"D5R-Holliston (gum - red)",11,2,0,615,364,251,1451.233,1405.079,1523.165,52.8,686
2,45428,"D5R-Lincoln-Sudbury (red)",12,4,0,630,415,215,1459.887,1419.262,1485.514,48.5,630
3,44375,"D5R-Westborough (meleski)",9,5,0,540,520,20,1460.99,1414.562,1457.37,42.4,593
4,44208,"D5R-Southboro (gold)",6,8,0,472,516,-44,1441.463,1380.749,1447.901,26.7,374
5,45243,"D5R-Medfield (blood)",7,7,0,431,448,-17,1478.797,1439.511,1417.984,39.6,515
6,44330,"D5R-Medway (white)",6,8,0,470,548,-78,1454.535,1404.535,1415.8,29.1,407
7,45229,"D5R-Somerville (blue)",2,9,0,249,432,-183,1441.881,1378.245,1362.816,14.0,154
