rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44123,"D5J-Berkley",13,0,0,602,340,262,1446.79,1400.636,1536.806,59.0,708
2,43927,"D5J-Taunton (white)",9,3,0,493,370,123,1452.366,1406.533,1502.828,44.8,537
3,43289,"D5J-Middleborough (terrasi)",6,6,0,511,481,30,1446.692,1392.526,1464.454,30.8,369
4,43204,"D5J-FLBC (blue)",3,9,0,403,512,-109,1461.787,1407.62,1412.509,20.7,228
5,43149,"D5J-Dighton-Rehoboth (white)",4,8,0,434,572,-138,1461.545,1411.545,1399.417,24.6,295
6,43421,"D5J-Bridgewater (senesi)",3,8,0,367,483,-116,1468.308,1422.854,1393.465,23.6,259
