rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43833,"D4H-Raynham (testa)",11,3,0,591,502,89,1485.454,1485.454,1543.96,62.7,1003
2,44495,"D4H-Wareham (silvia)",8,5,0,547,429,118,1492.861,1500.553,1508.504,64.7,841
3,44872,"D4H-North Attleboro (white)",7,9,0,541,594,-53,1487.625,1481.375,1493.33,49.3,690
4,43095,"D4H-Swansea",7,6,0,555,540,15,1498.768,1491.075,1474.906,54.7,711
5,44641,"D4H-Attleboro (white)",6,9,0,508,564,-56,1487.686,1477.686,1461.541,46.9,656
6,43834,"D4H-Raynham",3,10,0,292,452,-160,1498.477,1486.939,1448.322,34.3,446
