rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44170,"D5Q-Holliston (mcdonough - red)",10,0,0,389,209,180,1443.456,1393.456,1504.064,56.1,617
2,44635,"D5Q-Ashland (white)",6,5,0,431,324,107,1438.238,1379.147,1446.365,32.0,352
3,45639,"D5Q-Hopkinton (spar7b)",6,6,0,494,417,77,1459.958,1409.958,1444.677,33.3,366
4,43920,"D5Q-Westborough",7,5,0,510,486,24,1460.19,1410.19,1431.455,39.3,432
5,44705,"D5Q-Dover Sherborn (danielski)",3,8,0,346,409,-63,1445.905,1382.269,1411.534,17.0,187
6,45317,"D5Q-Milton (black)",3,7,0,307,423,-116,1455.11,1405.11,1404.114,21.2,233
7,44937,"D5Q-Blackstone-Millville (cummings)",3,7,0,342,455,-113,1433.407,1368.407,1400.417,18.1,181
