rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43700,"D6J-Sharon (maroon-sekuler)",7,6,0,493,421,72,1414.338,1333.569,1406.501,25.8,310
2,45730,"D6J-West Bridgewater (wiech)",8,3,0,365,309,56,1397.341,1301.886,1380.132,28.8,317
3,43956,"D6J-Foxboro (white)",5,8,0,403,408,-5,1382.094,1285.94,1358.477,16.2,211
4,43703,"D6J-Sharon (maroon-shemtov)",8,10,0,577,718,-141,1427.621,1358.177,1356.879,24.1,337
5,44135,"D6J-Easton (white)",3,10,0,397,540,-143,1400.367,1308.059,1343.113,12.4,161
6,44095,"D6J-Holbrook (orange)",1,12,0,338,514,-176,1407.063,1310.91,1290.883,7.8,101
