rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44331,"D2J-Medway (blue)",14,4,0,918,821,97,1590.444,1684.888,1677.067,145.5,1746
2,43582,"D2J-North Quincy (tim murphy)",13,5,0,944,858,86,1565.617,1632.284,1629.748,138.6,1524
3,43608,"D2J-Norwood (gold)",5,8,0,621,640,-19,1596.557,1688.864,1620.409,104.2,1250
4,45131,"D2J-Westwood",6,9,0,709,765,-56,1595.873,1689.207,1619.871,106.4,1277
5,44189,"D2J-Parkway  (red)",7,8,0,825,795,30,1601.572,1698.238,1616.071,115.0,1380
6,43742,"D2J-Needham (gold)",4,9,0,616,649,-33,1621.752,1725.598,1606.164,100.2,1202
