rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44582,"D3J-King Philip",10,3,0,693,577,116,1525.504,1571.658,1611.823,104.2,1146
2,44129,"D3J-Easton (black)",9,3,0,652,532,120,1553.203,1611.536,1584.962,104.6,837
3,43326,"D3J-Mansfield (white)",6,9,0,665,750,-85,1537.897,1584.563,1554.391,82.4,824
4,44465,"D3J-Walpole (a)",5,8,0,583,580,3,1548.96,1598.96,1527.722,69.6,766
5,43183,"D3J-Bellingham",4,9,0,577,650,-73,1560.915,1626.299,1526.041,76.6,842
6,43954,"D3J-Foxboro (blue)",1,12,0,493,703,-210,1543.299,1581.76,1458.956,47.5,522
