rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43481,"D4H-Rochester (red)",11,4,0,683,483,200,1503.011,1513.011,1558.295,74.5,894
2,44496,"D4H-Wareham (suarez)",6,5,0,481,494,-13,1510.912,1515.458,1540.473,58.8,647
3,43235,"D4H-Barnstable  (red)",8,4,0,602,515,87,1502.445,1502.445,1533.751,63.3,760
4,44979,"D4H-Acushnet - Fairhaven (myles)",8,4,0,570,563,7,1498.786,1498.786,1527.289,61.6,677
5,43251,"D4H-Dartmouth (white)",12,10,0,919,819,100,1511.44,1522.804,1517.334,62.9,692
6,43821,"D4H-Raynham (connolly)",6,5,0,498,501,-3,1503.037,1507.583,1488.541,58.1,639
7,43109,"D4H-Seekonk (payne)",3,9,0,468,550,-82,1504.529,1496.196,1445.533,43.1,431
