rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44061,"D3K-Wellesley ((a))",11,4,0,662,481,181,1541.24,1584.574,1628.625,94.1,1411
2,44706,"D3K-Arlington (maroon)",16,7,0,989,871,118,1555.099,1611.621,1628.117,105.3,1474
3,44043,"D3K-Newton (orange)",9,7,0,697,659,38,1544.981,1585.606,1593.198,85.7,1200
4,43462,"D3K-Winchester (white)",9,12,0,720,772,-52,1561.048,1611.048,1542.143,81.4,1139
5,45431,"D3K-Lincoln-Sudbury (blue)",7,11,0,635,715,-80,1568.383,1623.939,1527.389,79.0,1106
6,43933,"D3K-Brookline (red)",4,11,0,488,610,-122,1565.762,1619.095,1503.73,62.8,754
