rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45644,"D6K-Hopkinton (johnson)",14,3,0,626,445,181,1408.78,1323.486,1502.551,38.9,623
2,45326,"D6K-Milton (grey)",7,10,0,473,581,-108,1418.32,1333.026,1403.287,21.3,320
3,44159,"D6K-Holliston (flannery)",7,5,0,345,349,-4,1409.988,1322.488,1400.515,26.5,318
4,43983,"D6K-Canton (white)",9,5,0,412,357,55,1419.614,1333.9,1384.354,28.6,400
5,45122,"D6K-Westwood",4,11,0,298,526,-228,1414.227,1314.227,1331.419,13.1,184
