rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43094,"D5H-Swansea (black)",6,6,0,423,362,61,1445.62,1395.62,1467.251,31.3,344
2,43852,"D5H-Westport (medeiros)",7,4,0,418,381,37,1452.472,1402.472,1455.81,39.3,432
3,43114,"D5H-Barrington RI (blue)",7,5,0,396,345,51,1436.549,1386.549,1454.092,36.2,434
4,44824,"D5H-Bourne (purple/canfield)",2,7,0,258,341,-83,1458.211,1408.211,1391.408,23.1,231
5,44285,"D5H-Rochester",1,10,0,274,431,-157,1466.889,1416.889,1365.906,12.8,153
