rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44122,"D6H-Berkley",13,2,0,563,361,202,1415.433,1325.433,1453.111,36.1,542
2,43106,"D6H-Seekonk (valletta)",9,6,0,478,375,103,1402.386,1305.719,1440.514,24.4,366
3,44219,"D6H-Sharon (white)",13,6,0,658,623,35,1433.66,1365.239,1430.608,34.8,452
4,44117,"D6H-Easton (white)",7,6,0,351,396,-45,1410.535,1318.227,1379.814,24.3,292
5,43193,"D6H-Bellingham (tags)",4,8,0,339,373,-34,1419.035,1327.368,1355.608,15.5,186
6,44433,"D6H-Norton",2,11,0,308,459,-151,1411.145,1314.991,1340.614,10.8,140
7,43837,"D6H-Raynham (mccauley)",3,9,0,219,393,-174,1418.385,1322.552,1319.115,13.1,157
