rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43463,"D5W-Winchester (black)",18,2,0,734,407,327,1422.361,1367.361,1501.502,59.1,650
2,44230,"D5W-Wayland (orange)",10,2,0,531,313,218,1434.617,1384.617,1494.651,49.1,540
3,44723,"D5W-Arlington (grey)",7,10,0,515,560,-45,1447.413,1397.413,1417.264,27.9,335
4,45256,"D5W-Waltham Boys (white)",3,8,0,320,387,-67,1442.191,1392.191,1407.041,22.1,243
5,44327,"D5W-Belmont (white)",10,7,0,428,503,-75,1435.393,1367.745,1404.956,31.3,344
6,45754,"D5W-Lexington (gold)",3,13,0,426,492,-66,1450.013,1396.888,1363.768,19.8,218
7,45299,"D5W-Medford (white)",0,11,0,179,507,-328,1427.933,1350.661,1303.327,7.3,80
