rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44459,"D3H-Walpole (a)",18,1,0,825,621,204,1557.644,1618.171,1702.148,122.7,1963
2,43417,"D3H-Brockton",11,3,0,659,507,152,1575.082,1628.653,1639.349,105.9,1483
3,43122,"D3H-Seekonk (holland)",10,5,0,662,565,97,1578.168,1641.501,1625.558,99.6,1395
4,43427,"D3H-Bridgewater (gaff)",9,6,0,603,461,142,1554.158,1594.158,1598.573,90.2,1173
5,43324,"D3H-Mansfield (white)",7,10,0,505,632,-127,1553.246,1594.422,1553.884,73.9,1035
6,43836,"D3H-Raynham",2,11,0,302,449,-147,1564.273,1614.273,1492.541,57.4,689
