rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45648,"D6R-Hopkinton (tighe)",12,0,0,498,265,233,1398.557,1306.89,1472.147,42.5,467
2,45426,"D6R-Winchester (red)",12,7,0,544,461,83,1394.579,1305.105,1404.572,27.5,275
3,44437,"D6R-Bedford (white)",8,7,0,421,428,-7,1420.331,1343.665,1404.57,24.5,245
4,44726,"D6R-Arlington (black)",1,15,0,318,673,-355,1429.459,1345.084,1320.016,10.7,107
5,45764,"D6R-Lexington (white)",2,13,0,364,584,-220,1427.277,1337.277,1300.236,10.8,108
