rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,power
1,44063,"D6Q-Wellesley (c)",4,0,0,159,90,69,1474.81,1569.271
2,43996,"D6Q-Somerville (blue)",3,1,0,143,128,15,1492.577,1520.413
3,44273,"D6Q-Wayland (silver)",2,2,0,124,133,-9,1499.482,1501.424
4,45647,"D6Q-Hopkinton (smith)",0,0,0,0,0,0,1500.0,1500.0
5,44078,"D6Q-Watertown (red)",1,3,0,108,141,-33,1514.696,1459.585
6,44372,"D6Q-Westborough (heinrich)",0,4,0,100,142,-42,1518.434,1449.307
