rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44113,"D2AJ-Easton (black)",12,1,0,651,495,156,1593.468,1701.16,1703.359,180.1,1981
2,44874,"D2AJ-North Attleboro (red)",12,6,0,759,595,164,1566.745,1641.745,1655.07,133.3,1466
3,44968,"D2AJ-Foxboro (blue)",7,10,0,665,655,10,1598.817,1695.876,1609.613,105.6,1161
4,44292,"D2AJ-King Philip",5,9,0,593,652,-59,1609.482,1709.482,1588.529,104.7,1152
5,43294,"D2AJ-Franklin",3,13,0,537,694,-157,1612.85,1719.1,1559.153,92.5,1017
