rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45266,"D7R-Medfield (creed)",10,1,0,355,180,175,1336.831,1191.376,1379.715,20.6,227
2,45267,"D7R-Medfield (tata)",7,3,0,328,235,93,1357.369,1217.369,1362.499,18.2,182
3,45264,"D7R-Medfield (ross)",6,5,0,310,280,30,1359.927,1228.109,1354.601,14.6,146
4,44202,"D7R-Parkway  (green)",5,5,0,276,262,14,1351.813,1201.813,1332.046,10.9,109
5,43784,"D7R-Millis (ferraro)",1,8,0,144,332,-188,1372.52,1222.52,1268.305,3.2,29
6,43785,"D7R-Millis (roberta)",0,10,0,192,372,-180,1371.386,1226.386,1248.855,1.4,14
