rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45112,"D4M-Westwood (black)",10,3,0,455,357,98,1478.324,1478.324,1544.385,74.9,899
2,43604,"D4M-Norwood (blue)",11,1,0,483,381,102,1477.67,1477.67,1542.689,78.0,936
3,45330,"D4M-Milton (black)",7,8,0,466,438,28,1480.137,1473.47,1509.49,52.4,733
4,45650,"D4M-Hopkinton (bouzan)",10,3,0,438,401,37,1495.593,1503.286,1506.58,72.2,939
5,44398,"D4M-Dedham (king)",5,9,0,443,434,9,1491.282,1487.71,1470.859,43.6,611
6,44364,"D4M-Holliston (higgens)",3,10,0,272,433,-161,1495.275,1495.275,1434.136,37.9,493
7,44216,"D4M-Southboro (black)",3,11,0,357,430,-73,1488.341,1481.198,1427.492,37.5,487
8,43487,"D4M-Northboro (red)",1,13,0,308,528,-220,1462.606,1426.892,1378.501,20.4,286
