rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45258,"D1N-Waltham Boys (red)",22,0,0,1124,556,568,1606.758,1715.849,1739.222,193.1,2897
2,44040,"D1N-Newton (black)",20,2,0,985,572,413,1600.103,1704.648,1708.369,170.6,2559
3,43767,"D1N-Needham (gold)",11,4,0,583,499,84,1635.936,1765.936,1666.021,149.1,1938
4,43310,"D1N-Franklin",10,8,0,654,640,14,1628.448,1742.337,1642.923,147.3,1915
5,45327,"D1N-Milton (red)",11,12,0,840,842,-2,1576.832,1646.397,1590.516,136.6,1776
