rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45328,"D5R-Milton (white)",14,9,0,657,588,69,1463.654,1439.741,1486.82,36.0,396
2,43687,"D5R-Sharon (gold)",9,3,0,362,296,66,1461.514,1419.847,1486.677,49.0,490
3,44564,"D5R-Needham (white)",9,3,0,427,318,109,1438.356,1388.356,1479.568,42.0,420
4,44516,"D5R-Milford (red-sullivan)",5,6,0,277,285,-8,1463.453,1427.089,1447.509,32.9,329
5,43598,"D5R-North Quincy (miller)",4,6,0,334,348,-14,1426.159,1366.159,1424.345,23.7,237
6,44901,"D5R-North Attleboro (white)",4,7,0,282,369,-87,1449.627,1399.627,1412.975,25.8,284
7,43783,"D5R-Millis (maroon)",3,8,0,350,404,-54,1468.504,1413.959,1407.046,22.5,247
8,43192,"D5R-Bellingham (josh)",1,10,0,253,353,-100,1464.119,1409.574,1371.151,14.6,160
9,44200,"D5R-Parkway  (white)",1,12,0,288,535,-247,1466.124,1408.431,1355.605,13.4,161
