rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,45114,"D4Q-Westwood (silver)",9,3,0,437,340,97,1521.712,1546.712,1569.107,76.0,836
2,44087,"D4Q-Wellesley (red)",6,4,0,356,259,97,1465.187,1455.187,1503.361,51.1,511
3,44213,"D4Q-Southboro (white)",5,6,0,332,384,-52,1461.634,1461.634,1470.618,50.1,551
4,44041,"D4Q-Newton (orange)",4,9,0,410,464,-54,1490.972,1498.664,1462.479,48.8,488
5,43488,"D4Q-Northboro (white)",3,8,0,266,328,-62,1464.273,1464.273,1460.009,40.6,447
6,44762,"D4Q-Arlington (white)",5,13,0,419,601,-182,1486.208,1477.874,1398.629,47.8,526
