rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43827,"D5M-Westport (barrera)",11,2,0,578,348,230,1433.559,1387.405,1514.507,50.9,661
2,43345,"D5M-Monomoy (blue/teixiera)",11,2,0,519,366,153,1457.501,1422.885,1513.917,53.9,701
3,44493,"D5M-Wareham (silvia)",8,4,0,483,385,98,1449.142,1399.142,1467.875,40.8,489
4,43628,"D5M-Middleborough (hufault)",7,6,0,480,454,26,1452.113,1405.959,1447.354,35.7,464
5,44283,"D5M-Rochester (red)",7,7,0,552,484,68,1447.184,1400.756,1437.902,33.4,467
6,43138,"D5M-Seekonk (rego)",5,7,0,438,442,-4,1452.354,1402.354,1420.636,28.1,337
7,45629,"D5M-New Bedford",0,13,0,271,519,-248,1507.5,1511.346,1391.67,30.4,395
8,44127,"D5M-Berkley",3,9,0,296,508,-212,1453.392,1399.226,1373.815,20.0,240
9,43426,"D5M-Bridgewater (rizzitano)",1,13,0,271,578,-307,1463.086,1427.372,1344.168,14.4,173
