rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44511,"D5Q-Milford (red-consigli)",13,1,0,422,260,162,1453.162,1413.876,1509.937,58.8,823
2,43405,"D5Q-Natick",11,4,0,322,250,72,1452.188,1412.188,1477.184,51.3,615
3,43543,"D5Q-Northboro (red 1)",7,6,0,357,285,72,1456.64,1414.333,1462.507,37.6,489
4,43522,"D5Q-Hopkinton (mccullough)",6,7,0,277,285,-8,1450.451,1404.297,1436.545,32.2,418
5,44157,"D5Q-Holliston (wing - white)",5,10,0,298,336,-38,1450.295,1403.628,1433.009,26.7,400
6,44770,"D5Q-Dover Sherborn (panettiere)",6,8,0,294,360,-66,1452.445,1402.445,1427.925,29.5,413
