rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43304,"D3H-Franklin",12,6,0,731,536,195,1551.931,1607.486,1629.458,98.9,1583
2,44598,"D3H-King Philip",14,2,0,565,392,173,1552.53,1608.78,1613.674,113.0,1469
3,44475,"D3H-Walpole (a)",11,5,0,536,449,87,1563.51,1626.01,1607.734,103.3,1550
4,44650,"D3H-Attleboro (blue)",7,10,0,497,487,10,1562.331,1615.272,1560.843,84.0,1092
5,43592,"D3H-North Quincy (nahas)",6,7,0,320,399,-79,1554.916,1608.762,1546.456,79.2,1030
6,44487,"D3H-Easton (black)",6,13,0,435,546,-111,1540.739,1577.581,1526.988,63.0,1071
7,43129,"D3H-Barrington RI (gold)",3,10,0,328,504,-176,1529.268,1563.883,1508.768,53.0,689
8,43552,"D3H-Bridgewater (rooney)",3,10,0,304,423,-119,1559.616,1613.462,1499.349,62.8,816
