rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43900,"D5J-Canton (white)",11,6,0,464,346,118,1454.423,1407.364,1496.173,42.6,639
2,43443,"D5J-Foxboro (gold)",14,1,0,452,282,170,1445.647,1398.98,1489.857,55.6,779
3,45341,"D5J-Milton (black)",10,6,0,384,356,28,1445.222,1398.347,1484.55,40.1,641
4,43305,"D5J-Franklin",5,8,0,299,285,14,1458.185,1408.185,1418.588,27.0,351
5,44476,"D5J-Walpole (b)",5,9,0,230,292,-62,1452.462,1402.462,1414.431,25.7,360
6,44599,"D5J-King Philip",3,14,0,283,438,-155,1458.32,1411.261,1398.071,19.9,279
7,43355,"D5J-Norwood (blue)",0,13,0,143,435,-292,1461.487,1411.487,1344.866,10.0,130
