rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,44470,"D4M-Walpole (b)",11,1,0,331,191,140,1451.367,1409.7,1544.803,58.1,697
2,43991,"D4M-Canton (white)",10,3,0,346,233,113,1484.103,1464.872,1501.305,60.1,721
3,43603,"D4M-Norwood (white)",9,4,0,256,226,30,1450.868,1400.868,1473.573,45.9,551
4,45116,"D4M-Westwood (black)",7,5,0,208,216,-8,1472.973,1443.806,1462.91,46.0,506
5,44220,"D4M-Southboro (maroon)",5,6,0,164,203,-39,1457.069,1411.615,1446.494,33.8,372
6,45268,"D4M-Medfield (baker)",2,10,0,199,272,-73,1478.733,1449.567,1433.055,19.9,239
