rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43163,"D7M-Seekonk (3)",15,2,0,487,278,209,1358.535,1237.947,1399.758,25.9,336
2,43559,"D7M-Bridgewater (holleran)",11,3,0,281,186,95,1338.658,1192.229,1383.657,20.9,271
3,43828,"D7M-Westport (levesque)",9,4,0,261,155,106,1341.672,1199.364,1342.844,16.3,212
4,43848,"D7M-Raynham (cunio)",6,7,0,210,197,13,1367.076,1217.076,1323.921,11.4,148
5,44430,"D7M-Norton",8,5,0,191,209,-18,1349.787,1199.787,1300.274,13.9,180
6,43135,"D7M-Barrington RI (white)",0,14,0,126,386,-260,1392.486,1249.629,1235.469,1.7,22
