rank,teamno,name,wins,losses,ties,pf,pa,diff,sos,sos_adj,power,mw_rating,mw_points
1,43264,"D2K-Dartmouth",10,4,0,315,255,60,1628.245,1763.96,1723.914,141.9,1987
2,43849,"D2K-Raynham (connolly)",8,6,0,287,285,2,1633.293,1765.436,1700.503,131.6,1843
3,43312,"D2K-Franklin",13,10,0,478,369,109,1611.045,1730.611,1683.931,139.6,1955
4,44506,"D2K-Easton (black)",6,7,0,273,310,-37,1639.755,1778.217,1652.675,115.9,1507
5,44647,"D2K-Attleboro (blue)",6,11,0,352,409,-57,1623.544,1738.25,1640.853,111.3,1447
6,44592,"D2K-King Philip",2,13,0,179,439,-260,1630.829,1757.495,1605.476,85.9,1203
